,_merge,qid,personLabel,iort,wd_iort,intressent_id,sourceid
0,both,Q5901848,Mattias Karlsson,Norrhult,,0831636664429,727e2213-ac97-4ceb-bfab-f228debd8074
1,both,Q21544254,Hans Pettersson,Helsingborg,,0513164929896,b7fa05d3-0c7d-469f-9c84-93710fa96794
2,both,Q97119947,Barbro Nilsson,Visby,,0997984696398,3eb88bea-5426-460c-a52d-1c443b0baf45
3,both,Q1346478,Sten Andersson,Stockholm,Andersson i Enskede,0160374603998,bfff7061-4852-4277-91fc-67a9b3ca3d03
4,both,Q1346478,Sten Andersson,Stockholm,Andersson i Stockholm,0160374603998,bfff7061-4852-4277-91fc-67a9b3ca3d03
5,both,Q5901060,Hans Karlsson i Hallsberg,Hallsberg,,0654974921901,d7c31ed4-83e4-11d4-ae60-0050040c9b55
6,both,Q3373674,Helene Petersson,Stockaryd,,0617957067613,a45ca940-844f-4e27-9098-50b758a1b3aa
7,both,Q5901520,Ingvar Karlsson,Bengtsfors,,0108961111006,9b5d402d-c652-4915-9bd7-8d2d19550d6d
8,both,Q53747,Göran Persson,Stjärnhov,Göran Persson i Stjärnhov,0825004049003,d7c31be7-83e4-11d4-ae60-0050040c9b55
9,both,Q5626648,Göran Persson,Simrishamn,,0780069612618,84cba193-d9f5-4d20-8edf-53f592947eba
10,both,Q4990503,Cecilia Wigström,Göteborg,,0992604658114,09c77f4f-3dc3-49d5-8c90-04a9c4171e4f
11,both,Q6045408,Hans Petersson,Röstånga,,0783865315601,6b6ad097-1a19-4831-8352-0e82c0348b3f
12,both,Q21544238,Arne Andersson,Gamleby,,0404836900409,19df3c41-0bd0-462a-a542-45895d973ae7
13,both,Q5716200,Dan Eriksson,Stockholm,,0125847791412,561a8d1a-dab3-4bc2-b6fe-f460152edecf
14,both,Q21795365,Marianne Andersson,Gislaved,,0590096877813,db72bcbc-f874-4f84-bde0-dd121fb93015
15,both,Q4957716,Marianne Jönsson,Degerhamn,,0396368639900,1ecaf939-b671-4d11-ad81-b3f941bef627
16,both,Q59387749,Jonas Andersson,Skellefteå,Jonas Andersson i Skellefteå,0538494048717,c5e9daf0-868f-4c8e-9a69-671c7b22855a
17,both,Q70588456,Mattias Karlsson,Luleå,,0522054204918,951f7039-b277-4696-ab49-7f0df0f39d1a
