,organ_kod,roll_kod,ordningsnummer,status,typ,from,tom,uppgift,intressent_id,hangar_id,sortering,organ_sortering,uppdrag_rollsortering,uppdrag_statussortering
3591,kam,Andre vice talman,30,,talmansuppdrag,2010-10-04,2014-09-29 23:59:00,[{}],0584183916016,2343426,15,10,30,90
4192,kam,Förste vice talman,20,,talmansuppdrag,2003-01-01,2006-10-02 23:59:00,[{}],031005479013,2342682,10,10,20,90
5059,kam,Tredje vice talman,40,,talmansuppdrag,1998-10-05,2002-09-30 23:59:00,[{}],0699354970600,2342508,20,10,40,90
5916,kam,Förste vice talman,20,,talmansuppdrag,2006-10-02,2010-10-04 23:59:00,[{}],079095006519,2342630,10,10,20,90
6918,kam,Andre vice talman,30,,talmansuppdrag,1998-10-05,2002-09-30 23:59:00,[{}],0163254848207,2342470,15,10,30,90
7151,kam,Förste vice talman,20,,talmansuppdrag,2010-10-04,2014-09-29 23:59:00,[{}],0235974887200,2342494,10,10,20,90
7349,kam,Förste vice talman,20,,talmansuppdrag,2018-09-24,2022-09-26 10:59:00,[{}],0252067342313,2342918,10,10,20,90
12008,kam,Andre vice talman,30,,talmansuppdrag,2018-09-24,2022-09-26 10:59:00,[{}],0122987223112,3057161,15,10,30,90
14128,kam,Tredje vice talman,40,,talmansuppdrag,2012-10-01,2014-09-29 23:59:00,[{}],09812885803,2342264,20,10,40,90
16525,kam,Andre vice talman,30,,talmansuppdrag,2014-09-29,2018-09-24 23:59:00,[{}],0452755722723,2369312,15,10,30,90
17484,kam,Tredje vice talman,40,,talmansuppdrag,2014-09-29,2018-09-24 23:59:00,[{}],0182190010218,2343207,20,10,40,90
18952,kam,Förste vice talman,20,,talmansuppdrag,1998-10-05,2002-09-30 23:59:00,[{}],037063714405,2342286,10,10,20,90
19245,kam,Andre vice talman,30,,talmansuppdrag,2006-10-02,2010-10-04 23:59:00,[{}],0185503778507,2342311,15,10,30,90
20448,kam,Tredje vice talman,40,,talmansuppdrag,2010-10-04,2012-09-30 23:59:00,[{}],0367418588113,2343043,20,10,40,90
20450,kam,Tredje vice talman,40,,talmansuppdrag,2006-10-02,2010-10-04 23:59:00,[{}],0367418588113,2343043,20,10,40,90
22164,kam,Tredje vice talman,40,,talmansuppdrag,2018-09-24,2022-09-26 10:59:00,[{}],0155487380917,2342851,20,10,40,90
26832,kam,Förste vice talman,20,,talmansuppdrag,2017-10-11,2018-09-24 23:59:00,[{}],0714579775816,2343077,10,10,20,90
26955,kam,Förste vice talman,20,,talmansuppdrag,2014-09-29,2017-10-10 23:59:00,[{}],0956595590924,2343564,10,10,20,90
